Date and Time,Humidity,Temperature,CO2,CO,PM2.5 Density
2024-07-03 22:20:12,80,31.3000,320.7287,0.2814,23.5440
2024-07-03 22:20:32,80,30.8000,322.3603,0.2834,12.7967
2024-07-03 22:20:52,80,30.8000,317.3616,0.2774,40.3489
2024-07-03 22:21:12,80,30.8000,315.5813,0.2753,7.5208
2024-07-03 22:21:32,80,30.8000,313.0817,0.2724,22.1762
2024-07-03 22:21:52,81,30.8000,308.2827,0.2669,26.2797
2024-07-03 22:22:12,81,30.8000,301.4437,0.2588,22.1762
2024-07-03 22:22:32,81,30.8000,297.4887,0.2541,21.3946
2024-07-03 22:22:52,81,30.8000,289.4146,0.2447,24.9119
2024-07-03 22:23:12,81,30.8000,284.6949,0.2391,22.7624
2024-07-03 22:23:32,81,30.8000,282.6463,0.2368,22.3716
2024-07-03 22:23:52,81,30.8000,277.9267,0.2312,24.5211
2024-07-03 22:24:12,81,30.8000,279.2960,0.2328,20.2221
2024-07-03 22:24:32,81,30.8000,279.9069,0.2336,34.8775
2024-07-03 22:24:52,81,30.8000,280.4702,0.2342,22.9578
2024-07-03 22:25:12,81,30.8000,286.4280,0.2411,26.2797
2024-07-03 22:25:32,81,30.8000,289.3402,0.2445,16.9003
2024-07-03 22:25:52,81,30.8000,287.6298,0.2425,32.1419
2024-07-03 22:26:12,81,30.8000,291.8331,0.2473,95.6485
2024-07-03 22:26:32,81,30.8000,295.9990,0.2521,32.5327
2024-07-03 22:26:52,81,30.8000,300.2564,0.2571,40.3489
2024-07-03 22:27:12,81,30.8000,303.6995,0.2611,27.0613
2024-07-03 22:27:32,81,30.8000,308.0271,0.2663,28.4292
2024-07-03 22:27:52,81,30.8000,308.1154,0.2665,28.4292
2024-07-03 22:28:12,81,30.8000,309.1934,0.2677,34.6821
2024-07-03 22:28:32,81,30.8000,306.3381,0.2643,20.8084
2024-07-03 22:28:52,81,30.8000,309.2839,0.2679,35.6591
2024-07-03 22:29:12,81,30.8000,311.4178,0.2703,31.7510
2024-07-03 22:29:32,81,31.2000,313.2453,0.2725,32.1419
2024-07-03 22:29:52,81,31.3000,311.7298,0.2707,26.4751
2024-07-03 22:30:12,81,31.3000,311.4558,0.2704,43.2799
2024-07-03 22:30:32,81,31.3000,312.7325,0.2719,31.9464
2024-07-03 22:30:52,81,31.3000,310.3992,0.2690,23.7394
2024-07-03 22:31:12,81,31.3000,309.8732,0.2684,16.1186
2024-07-03 22:31:32,81,31.3000,313.5637,0.2728,41.7167
2024-07-03 22:31:52,81,31.3000,318.0049,0.2781,22.5670
2024-07-03 22:32:12,81,31.3000,314.4518,0.2738,32.5327
2024-07-03 22:32:32,81,31.3000,313.3641,0.2726,35.2683
2024-07-03 22:32:52,81,31.3000,311.6210,0.2705,21.0038
2024-07-03 22:33:12,81,31.3000,310.6811,0.2694,32.1419
2024-07-03 22:33:32,81,31.3000,311.7921,0.2708,24.3256
2024-07-03 22:33:52,81,31.3000,307.3102,0.2655,21.3946
